Accuracy,F1_Score,Time_Steps,Num_Training_Sequences,Test_Samples,Test_Label_Counts,Window_Size_Sec,Label_Threshold
0.903388515261252,0.8999348259926053,20,30927,7732,"{'Grazing': np.int64(2562), 'Resting': np.int64(2948), 'Resting Ruminating': np.int64(1570), 'Walking': np.int64(652)}",5,0.8
0.9031578947368422,0.8983337917049744,20,9500,2375,"{'Grazing': np.int64(797), 'Resting': np.int64(906), 'Resting Ruminating': np.int64(519), 'Walking': np.int64(153)}",15,0.8
0.8994722955145119,0.8957274623426884,20,15158,3790,"{'Grazing': np.int64(1263), 'Resting': np.int64(1443), 'Resting Ruminating': np.int64(785), 'Walking': np.int64(299)}",10,0.7
0.900217196882586,0.8956722358077005,20,31305,7827,"{'Grazing': np.int64(2589), 'Resting': np.int64(2978), 'Resting Ruminating': np.int64(1574), 'Walking': np.int64(686)}",5,0.7
0.8969534050179212,0.893241780201988,20,4460,1116,"{'Grazing': np.int64(377), 'Resting': np.int64(427), 'Resting Ruminating': np.int64(258), 'Walking': np.int64(54)}",30,0.8
0.897442799461642,0.891712375806943,15,14860,3715,"{'Grazing': np.int64(1237), 'Resting': np.int64(1423), 'Resting Ruminating': np.int64(781), 'Walking': np.int64(274)}",10,0.8
0.8959007551240561,0.8909691113012317,20,14832,3708,"{'Grazing': np.int64(1236), 'Resting': np.int64(1417), 'Resting Ruminating': np.int64(781), 'Walking': np.int64(274)}",10,0.8
0.8940431580307533,0.8890010106828742,15,30955,7739,"{'Grazing': np.int64(2563), 'Resting': np.int64(2953), 'Resting Ruminating': np.int64(1571), 'Walking': np.int64(652)}",5,0.8
0.8907815631262525,0.8836258084744049,20,31932,7984,"{'Grazing': np.int64(2624), 'Resting': np.int64(3027), 'Resting Ruminating': np.int64(1579), 'Walking': np.int64(754)}",5,0.6
0.886752699499605,0.8827460178628745,15,15186,3797,"{'Grazing': np.int64(1264), 'Resting': np.int64(1449), 'Resting Ruminating': np.int64(785), 'Walking': np.int64(299)}",10,0.7
0.8862808579522461,0.8814763289843607,20,9880,2471,"{'Grazing': np.int64(826), 'Resting': np.int64(944), 'Resting Ruminating': np.int64(524), 'Walking': np.int64(177)}",15,0.7
0.8845507976490344,0.8814492505631433,15,9528,2382,"{'Grazing': np.int64(798), 'Resting': np.int64(911), 'Resting Ruminating': np.int64(519), 'Walking': np.int64(154)}",15,0.8
0.8857262452909167,0.8814235282070302,10,9556,2389,"{'Grazing': np.int64(799), 'Resting': np.int64(917), 'Resting Ruminating': np.int64(519), 'Walking': np.int64(154)}",15,0.8
0.8842386464826358,0.8799789360008768,15,4488,1123,"{'Grazing': np.int64(378), 'Resting': np.int64(432), 'Resting Ruminating': np.int64(258), 'Walking': np.int64(55)}",30,0.8
0.8815153143471252,0.8769657129027396,10,14888,3722,"{'Grazing': np.int64(1238), 'Resting': np.int64(1429), 'Resting Ruminating': np.int64(781), 'Walking': np.int64(274)}",10,0.8
0.8837442122387686,0.8765909812118291,15,31960,7991,"{'Grazing': np.int64(2626), 'Resting': np.int64(3032), 'Resting Ruminating': np.int64(1579), 'Walking': np.int64(754)}",5,0.6
0.8825631861118203,0.87566382380633,15,31333,7834,"{'Grazing': np.int64(2590), 'Resting': np.int64(2983), 'Resting Ruminating': np.int64(1575), 'Walking': np.int64(686)}",5,0.7
0.8829073069971598,0.8755153518268265,10,30983,7746,"{'Grazing': np.int64(2565), 'Resting': np.int64(2958), 'Resting Ruminating': np.int64(1570), 'Walking': np.int64(653)}",5,0.8
0.8791124713083397,0.873365078180501,20,15680,3921,"{'Grazing': np.int64(1298), 'Resting': np.int64(1489), 'Resting Ruminating': np.int64(789), 'Walking': np.int64(345)}",10,0.6
0.8759007205764612,0.8713652702892224,20,4993,1249,"{'Grazing': np.int64(423), 'Resting': np.int64(479), 'Resting Ruminating': np.int64(266), 'Walking': np.int64(81)}",30,0.6
0.8734513274336283,0.8705587551692476,10,4516,1130,"{'Grazing': np.int64(379), 'Resting': np.int64(436), 'Resting Ruminating': np.int64(258), 'Walking': np.int64(57)}",30,0.8
0.8765463588827955,0.8697593357129046,10,31361,7841,"{'Grazing': np.int64(2592), 'Resting': np.int64(2987), 'Resting Ruminating': np.int64(1575), 'Walking': np.int64(687)}",5,0.7
0.8758445945945946,0.8692967968322044,20,4734,1184,"{'Grazing': np.int64(402), 'Resting': np.int64(454), 'Resting Ruminating': np.int64(263), 'Walking': np.int64(65)}",30,0.7
0.8743427970557308,0.8682752630550178,10,15214,3804,"{'Grazing': np.int64(1265), 'Resting': np.int64(1456), 'Resting Ruminating': np.int64(784), 'Walking': np.int64(299)}",10,0.7
0.8757062146892656,0.8679505040146165,15,9908,2478,"{'Grazing': np.int64(827), 'Resting': np.int64(950), 'Resting Ruminating': np.int64(523), 'Walking': np.int64(178)}",15,0.7
0.869653767820774,0.8630599135804577,15,15708,3928,"{'Grazing': np.int64(1298), 'Resting': np.int64(1496), 'Resting Ruminating': np.int64(789), 'Walking': np.int64(345)}",10,0.6
0.8653696498054475,0.8622352421976208,20,10277,2570,"{'Grazing': np.int64(855), 'Resting': np.int64(983), 'Resting Ruminating': np.int64(526), 'Walking': np.int64(206)}",15,0.6
0.8643572621035058,0.8616982129254883,5,9584,2396,"{'Grazing': np.int64(800), 'Resting': np.int64(923), 'Resting Ruminating': np.int64(519), 'Walking': np.int64(154)}",15,0.8
0.8653413353338335,0.8585121678031571,10,31988,7998,"{'Grazing': np.int64(2627), 'Resting': np.int64(3036), 'Resting Ruminating': np.int64(1579), 'Walking': np.int64(756)}",5,0.6
0.8661233993015134,0.8581154916283035,15,10305,2577,"{'Grazing': np.int64(856), 'Resting': np.int64(988), 'Resting Ruminating': np.int64(527), 'Walking': np.int64(206)}",15,0.6
0.8655935613682093,0.8574623862968672,10,9936,2485,"{'Grazing': np.int64(828), 'Resting': np.int64(956), 'Resting Ruminating': np.int64(523), 'Walking': np.int64(178)}",15,0.7
0.8599745870393901,0.8527723392648003,10,15736,3935,"{'Grazing': np.int64(1299), 'Resting': np.int64(1502), 'Resting Ruminating': np.int64(789), 'Walking': np.int64(345)}",10,0.6
0.8622704507512521,0.8503582899572178,10,4790,1198,"{'Grazing': np.int64(403), 'Resting': np.int64(463), 'Resting Ruminating': np.int64(263), 'Walking': np.int64(69)}",30,0.7
0.856687898089172,0.8492399564194487,15,5021,1256,"{'Grazing': np.int64(424), 'Resting': np.int64(483), 'Resting Ruminating': np.int64(265), 'Walking': np.int64(84)}",30,0.6
0.855583543240974,0.8492182000842265,15,4762,1191,"{'Grazing': np.int64(403), 'Resting': np.int64(458), 'Resting Ruminating': np.int64(263), 'Walking': np.int64(67)}",30,0.7
0.8522427440633246,0.8482886084158084,5,4544,1137,"{'Grazing': np.int64(380), 'Resting': np.int64(441), 'Resting Ruminating': np.int64(258), 'Walking': np.int64(58)}",30,0.8
0.8527315914489311,0.8464017663669652,10,5049,1263,"{'Grazing': np.int64(424), 'Resting': np.int64(488), 'Resting Ruminating': np.int64(265), 'Walking': np.int64(86)}",30,0.6
0.8511665325824618,0.8453998688383674,5,14916,3729,"{'Grazing': np.int64(1239), 'Resting': np.int64(1435), 'Resting Ruminating': np.int64(781), 'Walking': np.int64(274)}",10,0.8
0.8496066038952663,0.8419870623833126,5,31011,7753,"{'Grazing': np.int64(2566), 'Resting': np.int64(2963), 'Resting Ruminating': np.int64(1570), 'Walking': np.int64(654)}",5,0.8
0.8486842105263158,0.8399204688104499,10,10333,2584,"{'Grazing': np.int64(857), 'Resting': np.int64(994), 'Resting Ruminating': np.int64(527), 'Walking': np.int64(206)}",15,0.6
0.8468399592252803,0.839800519460589,5,31389,7848,"{'Grazing': np.int64(2593), 'Resting': np.int64(2992), 'Resting Ruminating': np.int64(1574), 'Walking': np.int64(689)}",5,0.7
0.8467593807399633,0.8363667327555651,5,15242,3811,"{'Grazing': np.int64(1266), 'Resting': np.int64(1461), 'Resting Ruminating': np.int64(784), 'Walking': np.int64(300)}",10,0.7
0.8406902086677368,0.8342492875161713,5,9964,2492,"{'Grazing': np.int64(829), 'Resting': np.int64(962), 'Resting Ruminating': np.int64(523), 'Walking': np.int64(178)}",15,0.7
0.8357276702061212,0.8291971917619112,5,32016,8005,"{'Grazing': np.int64(2628), 'Resting': np.int64(3041), 'Resting Ruminating': np.int64(1579), 'Walking': np.int64(757)}",5,0.6
0.8338406900050735,0.824295627299978,5,15764,3942,"{'Grazing': np.int64(1301), 'Resting': np.int64(1507), 'Resting Ruminating': np.int64(789), 'Walking': np.int64(345)}",10,0.6
0.8263218834426862,0.8165458421390742,5,10361,2591,"{'Grazing': np.int64(858), 'Resting': np.int64(1000), 'Resting Ruminating': np.int64(527), 'Walking': np.int64(206)}",15,0.6
0.8259842519685039,0.8163526062261831,5,5077,1270,"{'Grazing': np.int64(425), 'Resting': np.int64(494), 'Resting Ruminating': np.int64(265), 'Walking': np.int64(86)}",30,0.6
0.8265560165975103,0.8144052758475283,5,4818,1205,"{'Grazing': np.int64(404), 'Resting': np.int64(468), 'Resting Ruminating': np.int64(263), 'Walking': np.int64(70)}",30,0.7
